job_cluster,skills_filtered,job_level,job_title
MS Office,"['statistical modeling', 'cashflow forecasting', 'model development', 'model validation', 'risk management', 'forecasting', 'sql', 'r', 'sas', 'financial services', 'microsoft office', 'excel', 'technical writing', 'communication', 'data management']",Mid senior,Treasury Modeling Analyst Sr.
Financial Analysis,"['financial analysis', 'data analytics', 'forecasting', 'budgeting', 'financial modeling', 'financial reporting', 'accounting principles', 'ifrs', 'us gaap', 'data visualization', 'tableau', 'power bi', 'excel', 'sql', 'erp', 'epm', 'performance measurement', 'planning', 'reporting', 'cost analysis', 'reconciliation', 'industry trends', 'best practices', 'emerging technologies', 'problem solving', 'attention to detail', 'accuracy', 'communication', 'teamwork', 'organization']",Mid senior,Financial Analyst
Data Analysis,"['strategic financial planning', 'financial modeling', 'costbenefit analysis', 'data analysis', 'market research', 'financial statements', 'excel', 'financial policies and procedures', 'general ledger', 'accounting', 'finance', 'economics', 'communication', 'presentation', 'communication', 'initiative', 'self motivation', 'employee assistance program', 'vacation time', 'parental leave', 'equal opportunity employer']",Mid senior,Strategic Financial Planning Analyst II
Financial Analysis,"['financial analysis', 'reporting', 'planning', 'forecasting', 'data analysis', 'excel', 'financial reporting tools', 'financial management', 'variance analysis', 'trend analysis', 'financial performance', 'forecasting', 'adhoc reports', 'teamwork', 'communication', 'judgment', 'urgency', 'project management', 'attention to detail', 'self motivation', 'communication', 'active listening', 'problem solving', 'travel', 'confidentiality', 'privacy']",Mid senior,Senior Financial Analyst
Financial Analysis,"['financial analysis', 'variance analysis', 'accruals', 'allocations', 'intercompany transactions', 'journal entries', 'financial statements', 'corrective action', 'budgeting', 'forecasting', 'variance analysis', 'governance', 'risk', 'compliance', 'controls', 'process improvement', 'ad hoc projects', 'financial control', 'financial reporting', 'data analysis', 'microsoft office', 'excel', 'powerpoint', 'finance', 'communication', 'networking']",Mid senior,Senior Financial Analyst
Financial Analysis,"['financial analysis', 'budget analysis', 'program development', 'financial management', 'technical assistance', 'excel', 'analytical skills', 'organization', 'communication', 'attention to detail', 'strong work ethic', 'ability to multitask', 'ability to work in a fastpaced environment', 'writing', 'communication', 'interpersonal communication']",Mid senior,Financial Analyst (Budget Analyst)
Financial Reporting,"['financial management', 'budget development', 'financial control', 'forecasting', 'variance analysis', 'business partnering', 'costpoint', 'microsoft office', 'excel', 'word', 'outlook', 'financial reporting', 'governance', 'cost control', 'project delivery', 'diversity and inclusion']",Mid senior,Program Financial Analyst
Risk & Compliance,"['information security', 'cybersecurity', 'risk management', 'business analysis', 'software engineering', 'confidentiality', 'integrity', 'authentication', 'corrective actions']",Mid senior,Principal Information Security Risk Analyst
Analytical Thinking,"['internal auditing', 'external auditing', 'risk assessment', 'certified internal auditor cia', 'sarbanesoxley act', 'analytical skills', 'organization', 'communication', 'audit software', 'microsoft office applications']",Mid senior,Internal Auditor & SOX Analyst
Accounting,"['reporting and analysis', 'sap', 'business cases', 'good judgment', 'mba', 'cma', 'cpa']",Mid senior,Sr. Finance Analyst
Financial Analysis,"['finance', 'budget management', 'financial forecasting', 'adhoc reporting', 'financial analysis', 'business intelligence tools', 'accounting systems', 'internal controls', 'erp systems', 'budgeting', 'reporting', 'analysis', 'data visualization', 'communication', 'problem solving', 'decision making', 'business intelligence', 'accounting', 'manufacturing']",Mid senior,Financial Analyst
Financial Analysis,"['corporate finance', 'financial analysis', 'auditing', 'stakeholder management', 'project delivery', 'forecasting', 'technical', 'time management']",Mid senior,Senior Financial Analyst
Financial Analysis,"['machine learning', 'artificial intelligence', 'virtual assistants', 'blockchain', 'project management', 'hr', 'microleadership', 'service learning', 'financial planning', 'financial analysis', 'financial reporting', 'investment analysis', 'risk management', 'services']",Associate,"Volunteer: Investment Analyst Volunteer, Forest Fire Prevention Derivatives, CrowdDoing"
Financial Analysis,"['communication', 'financial analysis', 'problem solving', 'project management', 'financial planning', 'data analysis', 'root cause analysis', 'knowledge sharing', 'relationship building', 'effective communication', 'complex problem solving', 'quality assurance', 'continuous improvement', 'accountability', 'resource management', 'datadriven decision making', 'innovation']",Mid senior,Senior Financial Analyst (Finance Comp/Clinical)
Business Development,"['investment banking', 'financial services', 'networking', 'diversity and inclusion', 'interviews', 'equal employment opportunity', 'nondiscrimination']",Associate,Banking Analyst Discovery Program 2024 Toronto
Attention to Detail,"['banking', 'accounting', 'reporting', 'excel', 'erp software', 'cash flow management', 'attention to detail', 'communication', 'detail oriented', 'technical accounting', 'organized', 'team player']",Mid senior,Banking Analyst
Collaboration,"['finance', 'analytics', 'process improvement', 'financial analysis', 'leadership', 'innovation', 'collaboration', 'communication', 'critical thinking', 'change management', 'project management', 'teamwork', 'adaptability', 'time management', 'tableau', 'power bi', 'presentation', 'data visualization']",Mid senior,Lead Finance Analyst
Data Analysis,"['finance', 'cost optimization', 'financial modeling', 'data analysis', 'excel', 'sql', 'strategic decision making', 'business process improvement', 'cost management', 'financial reporting', 'leadership', 'communication', 'problem solving', 'adaptability', 'business partnering', 'crossfunctional collaboration', 'mba']",Mid senior,"Senior Financial Analyst, AMZL Controllership Finance"
Data Analysis,"['thirdparty risk management', 'data analysis', 'data entry', 'report generation', 'microsoft office', 'communication', 'communication']",Mid senior,Third Party Risk Management Analyst - Temp
Teamwork,"['underwriting', 'financial performance analysis', 'industry research', 'market analysis', 'thought leadership', 'data accuracy', 'client communication', 'pipeline management', 'proofreading', 'advanced excel', 'writing', 'professionalism', 'organization', 'prioritization', 'teamwork', 'independent work', 'selfstarter', 'flexibility', 'organization', 'proactiveness', 'detailorientation', 'entrepreneurial mindset', 'base salary', 'parental leave']",Mid senior,Investment Analyst
Financial Analysis,"['financial analysis', 'budgeting', 'forecasting', 'ad hoc analysis', 'business case development', 'spreadsheets', 'data analysis', 'problem solving', 'sql', 'excel', 'mathematical', 'analytical skills', 'financial planning', 'data interpretation', 'work']",Mid senior,Senior Financial Analyst
Accounting,"['treasury operations', 'risk management', 'reconciliation', 'external audits', 'internal audits', 'banking relationships', 'treasury management', 'metrics', 'key performance indicators', 'reporting requirements', 'finance', 'accounting', 'economics', 'corporate treasury', 'cfa', 'mba', 'cpa', 'advanced excel', 'travel', 'profit sharing']",Mid senior,Sr. Treasury Analyst
Leadership,"['business continuity', 'compliance programs', 'project planning', 'project coordination', 'compliance audits', 'risk assessments', 'data management', 'communication', 'communication', 'leadership', 'vendor management', 'annual bonus']",Mid senior,Security and Compliance Senior Analyst
Customer Service & Sales,"['investment banking', 'relationship management', 'execution', 'revenue generation', 'financial analysis', 'project management', 'microsoft office', 'excel', 'powerpoint', 'word', 'communication', 'research', 'customer service', 'discretion', 'confidentiality']",Mid senior,Analyst – Investment Banking – Public Finance
Business Development,"['financial services', 'team environment']",Mid senior,Senior Regulatory & Compliance Analyst
Financial Analysis,"['strategic financial planning', 'financial analysis', 'data analysis', 'financial modeling', 'costbenefit analysis', 'sap', 'bpc', 'alteryx', 'tableau', 'financial statements', 'microsoft office', 'excel', 'power point', 'accounting', 'finance', 'communication', 'problem solving', 'teamwork', 'attention to detail']",Mid senior,Strategic Financial Planning Analyst III
Financial Reporting,"['treasury management', 'cash management', 'banking', 'financial reporting', 'forecasting', 'process improvement', 'automation', 'microsoft office', 'teamwork', 'time management', 'data analysis', 'communication', 'attention to detail']",Mid senior,Sr Financial Analyst - Treasury / Raleigh/ Durham/ Chapel Hill area / Hybrid
Accounting,['vision'],Mid senior,Financial Analyst
Financial Analysis,"['financial analysis', 'budgeting', 'forecasting', 'sales reporting', 'expense analysis', 'data analysis', 'adhoc reporting', 'special projects', 'variance analysis', 'microsoft office', 'excel', 'pivot tables', 'vlookup', 'communication', 'communication', 'organization', 'detail oriented', 'independent work', 'creative', 'time management', 'discretion', 'judgment']",Mid senior,Financial Analyst Temp (Hybrid in Irvington NY)
Data Analysis,"['credit risk analysis', 'risk management', 'compliance policies', 'analytical skills', 'decision making', 'industry', 'benchmarking', 'financial reporting', 'programming', 'data analysis', 'sql', 'sas', 'business intelligence', 'statistics', 'python', 'r', 'federal laws', 'regulations', 'fcra', 'sas', 'sql', 'military']",Mid senior,Bank Credit Risk Analyst I- Consumer Lending
Project Management,"['asset management', 'data analytics', 'inventory control', 'stakeholder management', 'written and oral communication', 'presentation']",Mid senior,Asset Management Analyst
Accounting,"['financial modeling', 'pl management', 'analysis', 'excel', 'financial systems', 'financial policies', 'procedures', 'internal controls', 'process improvements', 'data interpretation', 'financial guidance', 'business acumen', 'senior management', 'business insights', 'tax', 'finance', 'accounting', 'business', 'economics', 'engineering', 'math', 'computer science', 'mba', 'cpa', 'controllership', 'automation', 'standardization', 'financial tools', 'business processes']",Mid senior,"Senior Financial Analyst, Project Kuiper"
Financial Analysis,"['financial analysis', 'budget preparation', 'pl', 'balance sheet', 'cash flow', 'financial modeling', 'presentation', 'communication', 'critical thinking', 'analytical skills', 'healthcare']",Mid senior,Senior Financial Planning Analyst-Financial Planning
Financial Analysis,"['financial analysis', 'financial modeling', 'excel', 'communication', 'communication', 'influencing', 'problem solving', 'strategic thinking', 'teamwork', 'budgeting', 'forecasting', 'data analysis', 'presentations', 'project management', 'customer focus', 'analytical skills', 'business intelligence', 'reporting', 'data visualization', 'collaboration', 'attention to detail', 'accuracy', 'multitasking', 'time management', 'independent work']",Mid senior,"Principal, Financial Analyst (Card Finance)"
Data Analysis,"['finance', 'budgeting', 'forecasting', 'financial planning', 'reporting tools', 'financial systems', 'dashboards', 'data analysis', 'trend analysis', 'risk management', 'tableau', 'sap', 'cognos', 'excel', 'pivot tables', 'data extraction', 'presentation', 'communication', 'attention to detail', 'problem solving', 'relationship building']",Mid senior,Senior Financial Analyst
Leadership,"['generally accepted accounting principles gaap', 'communication', 'financial audits', 'analytical skills', 'decision making', 'problem solving', 'negotiation', 'leadership', 'effective communication', 'us citizenship', 'accounting', 'finance', 'spreadsheets']",Mid senior,Financial Analyst (Mid/Senior)
Attention to Detail,"['investment banking', 'leveraged finance', 'investment management', 'entrepreneurial', 'teamoriented', 'communication', 'attention to detail', 'sound judgement', 'confidence', 'team environment', 'coding']",Mid senior,"BAAM- Investment Analyst, Credit Team"
Financial Analysis,"['financial analysis', 'decision support', 'financial reporting', 'business partnering', 'financial modeling', 'analytical skills', 'data analysis', 'problem solving', 'project management', 'sap', 'bpc', 'accounting', 'finance', 'retail']",Mid senior,Senior Financial Analyst - Retail Business Unit
Project Management,"['research administration', 'proposal development', 'industry']",Mid senior,Variable Hours Officer - Financial Analyst
Data Analysis,"['quantitative analysis', 'asset management', 'statistical modeling', 'data science', 'financial modeling', 'investment strategies', 'python', 'r', 'c', 'sql', 'vba', 'statistics', 'physics', 'engineering']",Mid senior,Macro Quant Analyst - Leading Multi-Billion Dollar Hedge Fund
Collaboration,"['healthcare compliance', 'healthcare administration', 'patient care', 'corrective action plans', 'report writing', 'communication', 'communication', 'critical thinking', 'time management', 'problem solving', 'regulatory compliance', 'incident management', 'customer satisfaction', 'collaboration', 'professional development']",Mid senior,Compliance Analyst (Part Time/ No Benefits)
Collaboration,"['financial planning analysis', 'adhoc reporting', 'presentations', 'financial analyses', 'modeling', 'decision making', 'insights', 'communication', 'collaboration', 'financial support', 'forecasting', 'coaching', 'mentoring', 'mba', 'certified public accountant', 'sap', 'onestream', 'power bi', 'manufacturing', 'excel', 'pivot tables', 'vlookups', 'analytical skills', 'mathematical', 'statistical', 'data interpretation', 'organization', 'time management', 'multitasking', 'deadlines', 'diversity', 'medical benefits', 'vision benefits', 'flexible spending accounts', 'paid parental leave', 'adoption assistance']",Mid senior,"Senior Financial Analyst, Corporate Financial Planning & Analysis"
Customer Service & Sales,"['accounting', 'banking', 'cash management', 'financial management', 'word', 'excel', 'powerpoint', 'outlook', 'internet', 'customer service', 'project management', 'analytical skills', 'problem solving', 'initiative', 'adaptability', 'flexibility', 'stakeholder engagement', 'vendor management', 'communication', 'teamwork', 'attention to detail', 'accuracy', 'organization', 'prioritization', 'coordination', 'productivity']",Mid senior,Treasury Analyst
Financial Reporting,"['financial reporting', 'compliance', 'operations', 'financial', 'audit', 'accounting', 'sql', 'spreadsheets', 'microsoft office', 'data analysis', 'project coordination']",Mid senior,Senior Audit Analyst
Analytical Thinking,"['treasury', 'liquidity', 'funding', 'capital markets', 'numerical', 'analytical skills', 'reasoning', 'problem solving', 'excel', 'communication', 'teamwork']",Mid senior,Treasury Analyst
Communication,"['financial modeling', 'advanced excel', 'team player', 'selfstarter', 'communication', 'communication', 'investment banking', 'corporate finance', 'valuation analysis', 'regulatory compliance', 'financial services industry']",Mid senior,TMT Investment Banking - Analyst
Financial Analysis,"['financial analysis', 'sas', 'sql', 'data modeling', 'statistical analysis', 'business case development', 'financial reporting', 'performance improvement', 'budgeting', 'forecasting', 'risk assessment', 'financial modeling', 'variance analysis', 'financial statement analysis', 'strategic financial planning', 'financial planning analysis', 'financial management']",Mid senior,"Financial Planning & Analysis Analyst IV, Medical Financial Ops"
Data Analysis,"['financial analysis', 'statistical analysis', 'project management', 'reconciliation', 'reporting', 'data analysis', 'investigation', 'problem solving', 'presentation', 'communication', 'communication', 'problem solving', 'analytical skills', 'attention to detail', 'organization', 'time management', 'communication', 'teamwork', 'flexibility', 'adaptability', 'initiative', 'self motivation', 'excel', 'cognos', 'word', 'ms access', 'powerpoint', 'sql', 'ged', 'associates degree']",Mid senior,Treasury Reconciliation Analyst I/II
Data Analysis,"['business analysis', 'financial analysis', 'budget management', 'excel', 'powerpoint', 'communication', 'attention to detail', 'time management', 'strategic planning', 'data analysis', 'research', 'reporting', 'presentation', 'economics', 'finance', 'accounting', 'business administration', 'diversity and inclusion', 'equal opportunity employment']",Mid senior,"Analyst, Business Management - Corporate & Investment Banking (CIB)"
Risk & Compliance,"['information security', 'risk management', 'nist', 'sox', 'pci dss', 'glba', 'pci dss', 'antimoney laundering', 'bank secrecy act', 'risk analysis', 'remediation', 'compliance', 'governance', 'training', 'communication', 'data analysis', 'networking']",Mid senior,Information Security Risk Analyst
Auditing,"['accounting principles', 'communication', 'problem solving', 'auditing']",Mid senior,Sr. Order Audit Analyst
Financial Analysis,"['financial reporting', 'accounting', 'sec reporting', 'journal entries', 'account reconciliation', 'intercompany reconciliation', 'sox controls', 'financial analysis', 'variance analysis', 'communication', 'coordination', 'problem solving', 'attention to detail']",Mid senior,Financial reporting analyst
Financial Analysis,"['financial planning', 'financial analysis', 'financial reporting', 'data analysis', 'budgeting', 'forecasting', 'excel', 'vlookup', 'pivot tables', 'financial modeling', 'variance analysis', 'financial regulations', 'accounting standards', 'communication', 'organization', 'time management', 'prioritization']",Mid senior,Financial Planning Analyst
Collaboration,"['investment research', 'asset allocation', 'portfolio construction', 'trading', 'compliance', 'account management', 'microsoft office', 'performance management', 'initiative', 'efficiency', 'accuracy', 'collaboration', 'independent work', 'teamwork', 'communication', 'communication', 'communication', 'organization', 'multitasking', 'time management']",Mid senior,Portfolio Analyst
Financial Analysis,"['financial analysis', 'reporting', 'budgeting', 'forecasting', 'variance analysis', 'special projects', 'financial consulting', 'capital expenditure analysis', 'financial data analysis', 'reporting', 'presentations', 'accounting', 'finance', 'economics', 'business administration', '5 years', 'financial analyst', 'analysis', 'reports', 'presentations']",Mid senior,Senior Financial Analyst
Financial Analysis,"['accounting', 'finance', 'economics', 'business', 'accounts receivable', 'accounts payable', 'quickbooks', 'microsoft office', 'powerpoint', 'excel', 'outlook', 'financial analysis', 'budget analysis', 'monthend close', 'payment processing', 'vendors', 'data entry', 'data analytics', 'budgeting', 'nonprofit accounting']",Mid senior,Financial Analyst - Tier III
Financial Reporting,"['strategic planning', 'capital management', 'budget forecasting', 'financial reporting', 'data analysis', 'financial modeling', 'microsoft office', 'sap', 'oracle', 'gaap', 'database management', 'financial management systems', 'time management', 'multitasking', 'training', 'communication', 'communication']",Mid senior,SENIOR FINANCIAL ANALYST
Risk & Compliance,"['credit risk analysis', 'risk management', 'sql', 'python', 'sas', 'data analysis', 'quantitative analysis', 'credit analysis', 'economics', 'forecasting', 'communication', 'compliance', 'banking', 'financial services']",Mid senior,Credit Risk Analyst
Time Management & Organization,"['state and federal regulations', 'communication', 'organization', 'time management', 'flexibility', 'critical thinking', 'sound judgement', 'decision making', 'continuing education', 'ged', 'nursing']",Mid senior,Risk Adjustment Analyst -HIM CDI
Financial Reporting,"['financial statement analysis', 'portfolio management', 'asset allocation', 'market research', 'financial reporting', 'tax advisory', 'planning', 'accounting', 'compliance', 'analytics', 'process improvement', 'capital', 'forecast', 'cash flows', 'funding', 'liquidity', 'excel', 'powerpoint', 'outlook', 'statistics', 'communication', 'teamwork', 'work', 'internship', 'attention to detail', 'accuracy', 'entrepreneurial spirit', 'experience']",Mid senior,"2024 Corebridge Full-Time Analyst Rotational Program – Investments Front Office – New York, NY"
Financial Analysis,"['financial planning and analysis', 'budget development', 'forecasting', 'financial modeling', 'data analysis', 'financial reporting', 'variance analysis', 'business intelligence tools', 'excel', 'financial analysis', 'organization', 'communication', 'presentation', 'attention to detail', 'multitasking']",Mid senior,Principle Financial Analyst
Financial Analysis,"['accounting', 'data analysis', 'excel', 'powerpoint', 'modeling', 'reporting', 'financial analysis', 'industry']",Mid senior,Corporate Finance Analyst
Financial Reporting,"['financial accounting', 'statutory accounting', 'generally accepted accounting principles gaap', 'financial reporting', 'budgeting', 'excel', 'certified public accountant cpa']",Mid senior,Financial Reporting Analyst
Financial Analysis,"['financial analysis', 'cash forecasting', 'financial modeling', 'financial reporting', 'investor relations', 'data analysis', 'procedure development', 'microsoft office', 'excel', 'data modeling', 'macros', 'communication', 'time management', 'organization', 'critical thinking', 'attention to detail', 'information systems', 'corporate finance', 'public accounting', 'consulting']",Mid senior,Financial Analyst - Treasury
Financial Analysis,"['accounting', 'financial analysis', 'cost accounting', 'budget preparation', 'financial statements', 'fund management', 'payroll accounting', 'cash management', 'financial reporting', 'compliance', 'journal entries', 'procurement', 'expense reporting', 'computer literacy', 'microsoft office', 'data analysis', 'problem solving', 'communication', 'teamwork', 'attention to detail']",Mid senior,UNIV - Accountant/Fiscal Analyst III (Hybrid/Remote) - Surgery: Office of the Chair
Data Analysis,"['financial analysis', 'budgeting', 'forecasting', 'financial reporting', 'financial systems', 'generally accepted accounting principles', 'technical writing', 'data analysis', 'problem solving', 'critical thinking', 'communication', 'teamwork', 'problem solving', 'microsoft office', 'fund accounting', 'project management', 'policy and procedure development', 'budget management', 'accounting software', 'data analysis software', 'communication', 'customer service', 'leadership', 'analytical skills', 'reconciliation', 'adhoc reports', 'process improvement', 'system analysis', 'troubleshooting', 'presentation', 'research', 'decision making', 'budget management', 'forecasting', 'reporting', 'financial planning', 'analysis', 'communication', 'problem solving', 'teamwork', 'time management', 'research']",Mid senior,Senior Financial Analyst
Financial Analysis,"['financial analysis', 'budget management', 'forecasting', 'cash flow analysis', 'reporting', 'process improvement', 'financial reporting', 'crossfunctional collaboration', 'risk management', 'advanced excel', 'data analysis', 'financial modeling', 'attention to detail', 'independent work', 'collaboration', 'economics', 'finance', 'accounting', 'business', 'cpa', 'mba', 'netsuite', 'erp system', 'powerbi', 'business intelligence tools', 'strong interpersonal', 'communication', 'crossfunctional teams', 'pharmaceutical']",Mid senior,Senior Financial Analyst
Customer Service & Sales,"['payroll processing', 'root cause analysis', 'regulatory compliance', 'accounting', 'finance', 'hr', 'payroll tax', 'statutory reporting', 'budgeting', 'excel', 'time management', 'adaptability', 'customer service', 'teamwork', 'problem solving', 'analytical skills', 'communication', 'confidentiality', 'data analysis', 'process improvement', 'organization', 'professionalism', 'payroll', 'workflows', 'data analysis']",Mid senior,Payroll Compliance Analyst
Financial Reporting,"['financial reporting', 'budgeting and forecasting', 'presentation', 'business analytics', 'financial modeling', 'data analysis', 'netsuite', 'erp systems', 'excel', 'business process improvement', 'gaap accounting', 'financial statements']",Mid senior,Sr. Financial Analyst/FPA Associate
Data Analysis,"['compliance', 'data analysis', 'excel', 'reporting', 'regulatory filings', 'project management', 'communication', 'time management', 'attention to detail', 'multitasking', 'teamwork', 'analytical skills', 'energy industry', 'communication', 'communication', 'organization', 'deadlinedriven environment', 'selfmanagement', 'problem solving', 'initiative']",Associate,Compliance Analyst
Financial Analysis,"['data modeling', 'customer service', 'financial analysis', 'technical accounting', 'report writing', 'communication', 'data interpretation', 'sql', 'python', 'financial statements', 'taxation', 'customer support', 'attention to detail', 'accounting principles', 'microsoft office', 'problem solving', 'multitasking', 'diplomacy', 'tact', 'teamwork', 'collaboration', 'data entry', 'data validation', 'troubleshooting', 'stakeholder engagement', 'working under pressure', 'communication', 'communication', 'communication', 'analytical skills', 'research', 'project management', 'time management', 'organization', 'ability to work independently', 'ability to work in a team environment', 'ability to meet deadlines', 'ability to handle multiple projects simultaneously']",Mid senior,Finance and Equity Analyst
Financial Analysis,"['financial reporting', 'financial analysis', 'accounting', 'business', 'finance', 'excel', 'erp', 'workday', 'blackline', 'financial analysis', 'special projects', 'financial statements', 'financial data', 'data accuracy']",Mid senior,Financial Reporting / Financial Analyst Opportunities - Remote / Hybrid ((JMB))
Collaboration,"['financial analysis', 'planning', 'forecasting', 'budgeting', 'financial modeling', 'data analytics', 'financial reporting', 'business partnering', 'communication', 'collaboration', 'problem solving', 'decision making', 'excel', 'powerpoint', 'outlook', 'alteryx', 'tableau', 'accounting', 'economics', 'finance', 'mathematics', 'statistics', 'attention to detail', 'initiative', 'accountability', 'integrity', 'time management', 'influencing']",Mid senior,Senior Financial Analyst
Financial Analysis,"['financial planning', 'financial analysis', 'business analysis', 'reporting', 'budget analysis', 'forecasting', 'strategic planning', 'project management', 'communication', 'presentation', 'advanced excel', 'sap', 'analytical skills', 'problem solving', 'innovation']",Mid senior,Senior Financial Planning Analyst
Financial Analysis,"['system integration', 'accounting', 'financial reporting', 'supply chain management', 'forecasting', 'financial analysis', 'microsoft dynamics 365', 'quickbooks', 'excel', 'vlookups', 'pivot tables', 'communication', 'teamwork', 'detail oriented', 'organization', 'analytical skills', 'planning', 'prioritization', 'accounting standards', 'regulatory requirements', 'financial performance analysis', 'roi analysis', 'costbenefit analysis', 'financial audits', 'advanced ms excel']",Mid senior,Senior Financial Systems Analyst
Time Management & Organization,"['medical records', 'strong communication', 'strong organizational', 'time management', 'flexibility', 'critical thinking', 'sound judgement', 'decision making', 'kpis']",Mid senior,Risk Adjustment Analyst - HIM CDI
Time Management & Organization,"['excel', 'microsoft suite', 'peoplesoft', 'professionalism', 'teamwork', 'flexibility', 'adaptability', 'problem solving', 'analysis', 'communication', 'organization', 'accuracy', 'time management', 'decision making', 'initiative', 'reporting', 'detail oriented']",Mid senior,Program Financial Analyst
Attention to Detail,"['financial modeling', 'analytical capabilities', 'industry research', 'financial projections', 'investment banking', 'consulting', 'accounting', 'communication', 'communication', 'presentation', 'communication', 'teamwork', 'attention to detail', 'strong work ethic', 'positive attitude', 'excel', 'powerpoint', 'financial analysis software', 'accounting software', 'market analysis', 'competitive analysis', 'portfolio management']",Mid senior,2024 Private Equity Summer Analyst
Accounting,"['accounting', 'finance', 'cpa certification', 'revenue recognition', 'sarbanesoxley', 'asc 606', 'budgeting', 'forecasting', 'financial close process', 'journal entries', 'account reconciliations', 'managerial', 'communication', 'public accounting', 'fastpaced work environment', 'physical demands']",Mid senior,Finance Analyst Lead (CPA)
Data Analysis,"['accounting', 'finance', 'treasury operations', 'cash management', 'cash forecasting', 'cash flows', 'investment operations', 'special projects', 'debt', 'risk management', 'oracle cloud', 'power bi', 'excel', 'financial modeling', 'data analysis', 'critical thinking', 'problem solving', 'communication', 'teamwork', 'cultural sensitivity', 'emotional intelligence', 'business acumen', 'customer focus', 'project management', 'independent judgment', 'execution']",Mid senior,Senior Financial Analyst - Treasury
Data Analysis,"['financial modeling', 'data analysis', 'forecasting', 'valuation', 'budgeting', 'reporting', 'analytics', 'business intelligence', 'financial planning', 'decision making', 'presentation', 'excel', 'powerpoint', 'sql', 'data visualization', 'financial accounting', 'financial statements', 'variance analysis', 'financial risk management', 'cash flow analysis', 'financial performance analysis', 'financial reporting', 'data management', 'data mining', 'data warehousing', 'erp systems', 'external audit', 'consulting']",Mid senior,Financial Modeling Analyst
Data Analysis,"['peoplesoft', 'sql', 'oracle', 'microsoft office', 'statistical', 'data analysis', 'data mining', 'data manipulation', 'data interpretation', 'system testing', 'project leadership', 'project management', 'time management', 'communication', 'teamwork', 'problem analysis', 'problem solving', 'technical support', 'reporting', 'documentation', 'research', 'communication', 'reporting', 'documentation', 'system maintenance', 'business process analysis']",Mid senior,Financial Aid System Analyst
Financial Analysis,"['financial analysis', 'reporting', 'data interpretation', 'decision making', 'budgeting', 'forecasting', 'accruals', 'microsoft office', 'electronic communication', 'accounting', 'finance', 'problem solving', 'time management', 'organization', 'detail orientation', 'data collection', 'integrity', 'dependability', 'urgency', 'results orientation', 'trustworthiness', 'discretion', 'ethical standards', 'selfdirection', 'work ethic', 'quick learning', 'communication', 'communication', 'negotiation', 'influencing', 'education', 'mentoring', 'respect', 'trust', 'accountability', 'stakeholder engagement', 'goal achievement']",Mid senior,Senior Financial Analyst
Financial Reporting,"['financial modeling', 'budgeting', 'forecasting', 'scenario planning', 'data analysis', 'risk analysis', 'financial reporting', 'presentation', 'communication', 'excel', 'attention to detail', 'accuracy', 'teamwork', 'independent work', 'multitasking', 'analytical skills', 'problem solving']",Mid senior,Senior Financial Analyst
Data Analysis,"['accounting', 'gaap', 'data analysis', 'reporting', 'process improvement', 'sap', 'sox', 'financial statements', 'external reporting', 'spreadsheet', 'analytical skills', 'strategic thinking', 'business acumen', 'communication', 'teamwork', 'self motivation', 'cpa or cpa candidate']",Mid senior,Sr. Finance Analyst
Financial Analysis,"['financial analysis', 'variance analysis', 'financial modeling', 'excel', 'financial reporting tools', 'bachelors in finance', 'presentation']",Mid senior,Sr. Financial Analyst
Accounting Operations,"['sap fico', 'fixed asset accounting', 'intercompany accounting', 'team environment']",Mid senior,Lead Analyst - IT Global Finance - SAP FICO/Material Ledger Momentive
Risk & Compliance,"['information security', 'compliance', 'risk management', 'pci', 'security controls', 'microsoft windows', 'linux', 'unix', 'communication', 'documentation', 'detail oriented', 'independent work', 'adaptability', 'physical demands']",Mid senior,Information Security Compliance Analyst
Attention to Detail,"['supply chain management', 'forecasting', 'budgeting', 'financial modeling', 'sap', 'excel', 'journal entries', 'continuous improvement', 'analytical skills', 'problem solving', 'attention to detail', 'resultsoriented', 'innovative thinking', 'strong work ethic', 'ability to work under pressure']",Mid senior,Financial Analyst
Time Management & Organization,"['team player', 'ifrs', 'us gaap', 'sharepoint', 'professional communication', 'time management', 'change management', 'compliance management', 'budget management', 'forecasting', 'process flows', 'organization', 'critical thinking', 'accuracy', 'reasonable accommodation']",Mid senior,Financial Reporting and Audit Analyst
Financial Analysis,"['financial analysis', 'report preparation', 'data analysis', 'problem solving', 'communication', 'teamwork', 'project management', 'audit', 'statistical analysis', 'cognos', 'word', 'ms access', 'powerpoint', 'sql', 'relational databases', 'financial modeling', 'attention to detail', 'accuracy', 'professionalism', 'analytical skills', 'decision making', 'time management']",Mid senior,Treasury Reconciliation Analyst I/II
Financial Analysis,"['accounting', 'bloomberg', 'business', 'capital markets', 'dcf', 'excel', 'financial modeling', 'powerpoint', 'word', 'analytical skills', 'client interaction', 'communication', 'credit analysis', 'data analysis', 'financial analysis', 'industry research', 'investment banking', 'mergers and acquisitions', 'communication']",Associate,Investment Banking Analyst
Financial Analysis,"['financial analysis', 'budgeting', 'forecasting', 'microsoft office', 'accounting', 'finance', 'excel', 'powerpoint', 'team player', 'adaptability', 'attention to detail', 'analytical skills', 'strong communication', 'public accounting', 'financial modeling', 'leadership', 'corporate finance']",Mid senior,Senior Financial Analyst
